Symbol,Name,Price,Change,Change %,Market Cap,Volume,Circulating Supply,Calculation Date,Calculation Hour
BTC-USD,Bitcoin USD,87610.17,-669.2656,-0.75812286,1738341875712,31781804032,19841780,2025-03-25,11:20:10
ETH-USD,Ethereum USD,2061.3872,-30.561035,-1.4608852,248689491968,11847226368,120641816,2025-03-25,11:20:10
BNB-USD,BNB USD,633.3099,5.3026123,0.84435713,90229350400,2326087680,142472672,2025-03-25,11:20:10
XRP-USD,XRP USD,2.439019,-0.027552366,-1.1170322,141848723456,2757715456,58158112768,2025-03-25,11:20:10
ADA-USD,Cardano USD,0.7543959,0.020159125,2.745592,26584113152,1068519424,35238940672,2025-03-25,11:20:10
SOL-USD,Solana USD,144.92651,0.30941772,0.21395478,74106667008,3359238144,511339552,2025-03-25,11:20:10
DOGE-USD,Dogecoin USD,0.18763402,0.008651108,4.8334794,27877906432,1660942080,148575961088,2025-03-25,11:20:10
DOT-USD,Polkadot USD,4.6805344,-0.02814293,-0.5976858,7306494976,162581152,1561038592,2025-03-25,11:20:10
MATIC-USD,Polygon USD,0.21823609,0.005908981,2.782965,0,1267171,0,2025-03-25,11:20:10
LTC-USD,Litecoin USD,93.49412,-0.5077591,-0.5401637,7064272384,442081824,75558472,2025-03-25,11:20:10
BCH-USD,Bitcoin Cash USD,330.2277,-0.89208984,-0.26942056,6554006016,198732736,19846932,2025-03-25,11:20:10
LINK-USD,Chainlink USD,15.333628,0.078193665,0.5125694,10075726848,337551488,657099968,2025-03-25,11:20:10
XLM-USD,Stellar USD,0.29217526,0.0001399517,0.04792783,8993084416,168525168,30779758592,2025-03-25,11:20:10
UNI-USD,UNICORN Token USD,0.0001758585,-1.493434e-06,-0.84207636,18801,3,106912512,2025-03-25,11:20:10
ETC-USD,Ethereum Classic USD,18.287035,-0.014398575,-0.0786797,2766030592,87775584,151256368,2025-03-25,11:20:10
FIL-USD,Filecoin USD,3.1144063,-0.029785872,-0.94732827,2011725696,82612432,645941952,2025-03-25,11:20:10
ATOM-USD,Cosmos USD,4.8429284,-0.018428802,-0.37909102,1893266304,129919488,390934208,2025-03-25,11:20:10
VET-USD,VeChain USD,0.026454408,-0.0002450589,-0.91784185,2274683392,52495140,85985042432,2025-03-25,11:20:10
HBAR-USD,Hedera USD,0.19894893,0.0050795972,2.6201148,8399504384,213665856,42219401216,2025-03-25,11:20:10
ICP-USD,Internet Computer USD,6.0846453,0.020406246,0.33650163,2932257536,65144568,481910976,2025-03-25,11:20:10
EGLD-USD,MultiversX USD,19.503868,0.4075985,2.1344407,546379840,25185826,28013922,2025-03-25,11:20:10
MANA-USD,Decentraland USD,0.2796716,-0.0027782917,-0.9836374,543193600,49622804,1942255232,2025-03-25,11:20:10
SAND-USD,The Sandbox USD,0.30183995,-0.00085118413,-0.2812,748972672,55449920,2481357056,2025-03-25,11:20:10
AXS-USD,Axie Infinity USD,3.4917815,-0.01402545,-0.40006366,558044736,20525850,159816624,2025-03-25,11:20:10
THETA-USD,Theta Network USD,0.9685144,-0.010255337,-1.0477781,968514368,15337824,1000000000,2025-03-25,11:20:10
AAVE-USD,Aave USD,187.0178,-5.389511,-2.8010938,2822395392,175121504,15091586,2025-03-25,11:20:10
FTM-USD,Fantom USD,0.69689536,-0.004967928,-0.70781803,1953840128,46269352,2803634944,2025-03-25,11:20:10
GRT-USD,Golden Ratio Token USD,0.45430142,-0.03135559,-6.45632,0,2312535,0,2025-03-25,11:20:10
